gene	log2fc	qvalue
RP3-395M20.7	-9.019031825688492e-06	1.0
RP3-395M20.9	-0.08941250494670222	1.0
FAM213B	-1.2273119241306227	0.000121354
RP13-436F16.1	0.0	1.0
ACTRT2	0.044248898236177614	1.0
PRDM16	-0.0933419103154044	0.304964
ARHGEF16	2.274579303672471	0.000121354
RP11-168F9.2	0.1513406000647834	1.0
TPRG1L	-2.8244173897600895	0.000121354
TP73	2.7738883622287154	0.000121354
CCDC27	-0.012726895250831968	1.0
SMIM1	-0.8995581280809091	0.00470167
RN7SL574P	-0.4078683581240879	0.494845
RP1-286D6.5	-0.7692439338593776	0.482582
DFFB	-0.5346941435573037	0.00685971
RP13-15E13.1	0.3578583640459167	0.000669422
RP13-614K11.1	0.3786658724003136	0.000121354
RP5-1166F10.1	0.0	1.0
RP1-37J18.2	0.0	1.0
AJAP1	0.6808143476146237	0.32573
RP1-58B11.1	0.0	1.0
MIR4417	0.0	1.0
KCNAB2	0.641538522853636	0.0111948
RNF207	-0.5793540057030816	0.184674
LINC00337	0.0806665407625066	1.0
HES3	0.13855106456426186	1.0
RP1-202O8.3	-0.8577298665040064	0.465368
ESPN	4.169903113028166	0.000121354
RNU6-731P	0.0	1.0
RP11-58A11.2	0.10369926017290751	1.0
TAS1R1	0.05219249151001734	1.0
ZBTB48	-0.30646908516388804	0.212511
PHF13	-0.7695271539705191	0.000121354
THAP3	-1.1159739044521169	0.00703537
RP11-242F24.1	0.0	1.0
snoU13	0.0	1.0
CAMTA1	-0.9654927703461755	0.000562704
VAMP3	-3.5843305692650995	0.000121354
PER3	1.1210343630106956	0.0304829
RP5-892F13.2	0.0	1.0
PARK7	-1.890072682736136	0.000121354
RP11-431K24.1	-0.004859682009595938	1.0
RP11-431K24.2	0.0	1.0
RP11-431K24.3	-0.23430282781826572	0.31179
SLC45A1	-1.274576394883782	0.000121354
RP5-1115A15.1	-0.07340819055830206	1.0
RP5-1115A15.2	0.0	1.0
RP4-633I8.1	0.0	1.0
RP4-633I8.3	0.0	1.0
RP11-185B14.1	-0.08169739327593994	1.0
ENO1-AS1	-0.026883888462020267	0.936287
HMGN2P17	0.0	1.0
RP3-477M7.6	0.0	1.0
CA6	0.0	1.0
SCARNA16	0.0	1.0
RP3-510D11.2	-1.6996751727026362	0.000121354
H6PD	-2.66489717914801	0.000121354
Z98044.1	0.0	1.0
SPSB1	-3.1742220868080158	0.000121354
SLC25A33	-0.36289607486567765	0.00225858
TMEM201	-0.19882430545279212	0.15799
PIK3CD	-1.5309932879985	0.0010811
RP11-558F24.6	0.0	1.0
RP11-84A14.5	0.5370317643330246	0.0113612
NMNAT1	-1.566307365155535	0.000121354
RBP7	1.9564532488078379	0.013386
UBE4B	-1.0904261923691854	0.000121354
KIF1B	-0.06750313000041439	0.61767
RN7SL721P	0.07963411236870582	1.0
PGD	-3.0085312529095654	0.000121354
APITD1,APITD1-CORT,CORT	0.16074857644266152	0.476632
RP5-1113E3.3	-0.582763024840796	0.342993
PEX14	-0.9998221268688233	0.000455461
RP4-734G22.3	1.6658224893784743	0.0567676
RP11-340B24.3	0.0	1.0
TARDBP	-0.26312291854293535	0.0524167
RP4-635E18.8	0.32958497734687014	0.230713
RP4-635E18.7	0.2789289211785335	0.381738
RP4-635E18.6	-0.3801192609798886	0.471244
MTOR-AS1	0.0010522207529924357	1.0
RNU6-537P	0.0	1.0
ANGPTL7	0.054822643669014695	1.0
RNU6-291P	0.0	1.0
RPL39P6	0.0	1.0
UBIAD1	-0.8626763256438948	0.000121354
PTCHD2	2.0722631683360495	0.188055
RP1-69M21.2	0.01983112859147858	1.0
FBXO44	-1.4351694795736125	0.000121354
FBXO6	-1.1931457042362488	0.000121354
DRAXIN	0.7326971762993644	0.000121354
AGTRAP	-3.802974775765442	0.000121354
C1orf167	-0.08402538558888509	1.0
CLCN6	-0.4887971858403006	0.00321257
RP5-934G17.6	0.004706493833727573	1.0
RNU5E-1	0.0	1.0
PLOD1	-4.771601778710316	0.000121354
MFN2	-1.235473964059273	0.000121354
MIIP	-0.723098292272714	0.000121354
TNFRSF8	-0.09701150210389486	1.0
TNFRSF1B	-1.9182708161026218	0.000121354
VPS13D	-0.8732579156816135	0.000121354
RP5-888M10.2	0.0	1.0
AADACL4	0.019793703216882064	1.0
RP11-474O21.2	0.0	1.0
AADACL3	0.01588002984598099	1.0
snoU13	0.0	1.0
C1orf158	0.09846550874390636	1.0
PRAMEF12	0.23902280651477228	0.000121354
PRAMEF1	0.14890677926566304	1.0
PRAMEF2	0.11340472969890229	1.0
PRAMEF7	0.01756065468009283	1.0
RNU6-1072P	0.0	1.0
RP11-450I1.2	0.0	1.0
PRAMEF22	0.025313760648832062	1.0
PRAMEF25	0.009228541011749162	1.0
RP13-221M14.2	0.0	1.0
WI2-2994D6.1	0.08203149152261469	1.0
RP11-248D7.2	0.0	1.0
PRAMEF5	0.0	1.0
RP11-219C24.6	0.0	1.0
PRAMEF9	0.0	1.0
RP11-219C24.10	0.0	1.0
PRAMEF16	0.0	1.0
PRAMEF21	0.0	1.0
XX-FW84067D5.2	0.0	1.0
PRAMEF15	0.0	1.0
PRAMEF17	0.0	1.0
PRAMEF20	0.0	1.0
RP4-597A16.2	0.0	1.0
RP4-597A16.3	0.0	1.0
PDPN	-0.39191863680087374	0.000562704
PRDM2	-0.2467901378789486	0.0987178
KAZN	-2.874188098759881	0.000121354
TMEM51	-2.159786063738527	0.000121354
FHAD1	0.684133562278403	0.000121354
EFHD2	-1.480951573508825	0.000121354
CTRC	-0.058815733334875754	1.0
CELA2A,CELA2B	0.03962673480216512	1.0
DNAJC16	-1.6865594359186067	0.000121354
CHCHD2P6	0.21469983649853572	0.257382
DDI2,RSC1A1	-0.44076861525272787	0.0163135
PLEKHM2	-1.6328618751074833	0.000121354
SLC25A34	-0.41606345501782327	0.483462
TMEM82	0.023011865875643255	1.0
FBLIM1	-2.216064526038243	0.000121354
RP11-169K16.6	-0.01633450466152879	1.0
RP11-169K16.8	0.0	1.0
SPEN	0.5611055827563638	0.140169
RP11-5P18.1	0.046966641601088696	1.0
RP11-5P18.3	0.08221956665551684	1.0
TBC1D3P6	0.0038518984578112493	1.0
C1orf64	0.0	1.0
CLCNKA	-0.04661525317004555	1.0
CLCNKB	-0.03085735135751132	0.728756
RP11-276H7.2	-0.8652857219383296	0.274016
RP11-276H7.3	-0.14830693411061227	1.0
ARHGEF19-AS1	0.033169946053130776	1.0
SZRD1	-1.4004619449705542	0.00177627
NECAP2	-2.539989453302918	0.000121354
RP4-798A10.2	-0.06998658211900917	0.682061
RP4-798A10.7	1.412591810452554	0.000121354
RP4-798A10.4	0.06286827560047277	1.0
AL355149.2	0.0	1.0
AL355149.1	0.0	1.0
RP5-1182A14.5	0.09601283509057146	1.0
MST1P2	-0.2886078838686244	0.0283731
AL137798.1	0.0	1.0
AL021920.1	0.0	1.0
CROCC	0.06534097278548184	0.836099
RP1-37C10.3	-0.009931287838366117	1.0
Y_RNA	0.0	1.0
RP11-380J14.1	-0.10098013779793209	1.0
PADI1	-0.07160787918655272	1.0
PADI3	-0.0290858820244818	1.0
PADI4	-0.059864310922931444	1.0
PADI6	0.004502772906917362	1.0
RP1-20B21.4	0.41271478604060596	0.66538
snoU13	0.0	1.0
ARHGEF10L	-0.8421646358765825	0.000235208
RP11-473A10.2	0.0	1.0
ACTL8	0.02489496959599228	1.0
RP11-174G17.2	0.002527348747705466	1.0
IGSF21	3.2370216114122456	0.00263888
RP11-422P22.1	0.0	1.0
KLHDC7A	0.008042628014838581	1.0
RP1-8B22.1	0.0	1.0
RP1-8B22.2	0.0	1.0
PAX7	0.11251972621501391	1.0
RP1-43E13.2	-0.26055711871609694	0.501646
MRTO4	-1.2947015852190091	0.000455461
RP4-657E11.10	0.1976223255040374	0.244519
PQLC2	-0.9042502248675591	0.000121354
RN7SL277P	0.0	1.0
RNU4-28P	0.0	1.0
MINOS1,MINOS1-NBL1,NBL1	-2.2525346938018984	0.000121354
HTR6	0.0419548365609042	1.0
RP11-91K11.2	0.2322002487135165	0.000121354
OTUD3	0.44206766082259585	0.0201357
RN7SL304P	0.0	1.0
PLA2G5	0.0007307375937062794	1.0
PLA2G2F	0.0015502515076076559	1.0
RP3-340N1.2	0.0	1.0
UBXN10	0.3326586735347141	0.000121354
RP3-340N1.6	0.0	1.0
VWA5B1	0.1555445989410436	1.0
RPS4XP4	0.0	1.0
FAM43B	-0.0115991077549015	1.0
CDA	-0.3738798034107717	0.000121354
PINK1	-1.6486586104322825	0.000121354
RP5-930J4.2	-0.034648740633724355	1.0
RP5-930J4.4	-1.0905007962289859	0.00148166
RNU7-200P	0.0	1.0
RP11-628K18.1	0.0	1.0
RP3-329E20.2	-0.045248115123093215	1.0
RP5-1071N3.1	-0.2567029355084067	0.0705802
PPP1R11P1	0.09927109749344493	1.0
RP11-293F5.1	0.0	1.0
HS6ST1P1	-0.0031185075990214648	1.0
CROCCP5	0.004634132049445973	1.0
NBPF3	-2.787842614365158	0.000121354
ALPL	-1.0667246710226226	0.000121354
RP11-63N8.3	0.0	1.0
RP11-132G19.3	0.0	1.0
LDLRAD2	-0.5393574632902809	0.0298544
RP11-26H16.1	0.0	1.0
CELA3B	0.07191232842300513	1.0
CELA3A	0.007911532054521938	1.0
LINC00339	-1.2777153574411448	0.000121354
CDC42	-1.7621017193595383	0.000121354
RP1-224A6.9	0.0	1.0
MIR4418	0.0	1.0
ZBTB40	-0.43690025608633165	0.00097974
EPHA8	0.0639238561416929	1.0
C1QA	-0.014138729626464848	1.0
C1QC	0.01779850776630225	1.0
C1QB	0.0040099616707498	1.0
EPHB2	-2.4985458080726763	0.000121354
RP1-74M1.3	-0.8204828555735465	0.000121354
KDM1A	0.18776961145312862	0.38096
RP5-979D14.1	-0.03710933177918957	1.0
RNU6-514P	0.0	1.0
RNU6-135P	0.0	1.0
RP5-1057J7.1	-0.027073348935154198	1.0
C1orf213	-0.7310320700250621	0.00880341
RP4-654C18.1	-0.04789226263567752	1.0
MDS2	-0.04639269585559835	1.0
RP11-223J15.2	0.0	1.0
RPL11	-2.634713998758957	0.000121354
TCEB3	-0.7207609034401029	0.000121354
PITHD1	-0.4096803518818438	0.00235354
LYPLA2	-1.3128418617693114	0.000121354
snoU13	0.0	1.0
RP11-4M23.3	0.0	1.0
MIR378F	0.0	1.0
PNRC2	0.08600843891689874	0.853977
RP11-293P20.2,RP11-293P20.4	0.04418131926190615	1.0
RP11-10N16.2	0.0	1.0
AL590683.1	0.0	1.0
GRHL3	0.32241712517233434	0.0307169
NIPAL3	-3.3107272941987067	0.000121354
RCAN3	0.8972319676481167	0.000455461
NCMAP	0.06924873585432959	1.0
SRRM1	-0.8250061884565553	0.000121354
CLIC4	-3.9014980793930403	0.000121354
RP11-84D1.1	-0.013183777601544277	1.0
MIR4425	0.0	1.0
RP4-706G24.1	0.0	1.0
RP3-465N24.6	-0.16178034491183807	0.585776
RHD	0.005475422049394042	1.0
TMEM50A	-2.710283657939021	0.000121354
RP3-469D22.1	0.0	1.0
AL031284.1	0.0	1.0
TMEM57	-0.6504917989862297	0.00097974
LDLRAP1	-3.0309677185876702	0.000121354
RP11-70P17.1	-0.2840971369093738	0.176964
MAN1C1	-2.4283001326521965	0.000121354
MTFR1L,RP1-317E23.6,SEPN1	-2.064641252003502	0.000121354
RP1-125I3.2	-0.016240990914547632	1.0
Y_RNA	0.0	1.0
SNRPFP2	0.12463212778985926	1.0
RP1-125I3.4	0.0	1.0
AL033528.1	0.0	1.0
RNU6-110P	0.0	1.0
SCARNA17	0.0	1.0
SCARNA18	0.0	1.0
EXTL1	-1.0016335634389766	0.000121354
AL391650.1	0.0	1.0
PDIK1L	1.0221782376923203	0.000121354
FAM110D	0.00819550530090605	1.0
ZNF593	-1.3444391459537701	0.000121354
CNKSR1	2.3490736055922876	0.000121354
CATSPER4	0.029086732268805968	1.0
RP11-231P20.2	0.04678167843190301	1.0
CEP85	1.1579268192087302	0.000121354
SH3BGRL3	-4.6003345271151055	0.000121354
CD52	0.058576261226231524	1.0
RP11-569G9.7	0.11445844827210958	1.0
LIN28A	0.05230431400002861	1.0
DHDDS	-1.6979428421739817	0.000121354
HMGN2	0.6684859083471959	0.00097974
RPS6KA1	1.6259481579479733	0.000121354
RP4-785J1.1	0.0	1.0
ARID1A	-0.10181668840111385	0.52395
PIGV	-1.853910030306494	0.000121354
RN7SL165P	-0.08549685718552644	1.0
ZDHHC18	-1.2282181598776696	0.000121354
SFN	4.031134939925329	0.0227334
RP1-50O24.6	-0.20992867483469843	1.0
NUDC	-1.1613779552298842	0.000121354
RP11-344H11.4	0.0	1.0
RP11-344H11.5	0.11332137523224003	1.0
TRNP1	-4.3054220484850125	0.000121354
RP11-40H20.5	0.0	1.0
NPM1P39	-0.022775580869855535	1.0
SNRPEP7	0.0	1.0
WDTC1	-0.04317453136818221	0.76363
RP11-4K3__A.3	0.15638741641044607	0.286546
TMEM222	-1.6146344359035238	0.000121354
SYTL1	2.2846508396857175	0.000121354
RP1-144C9.2	0.0	1.0
GPR3	-0.6728771403450012	0.000121354
RP4-752I6.1	0.0	1.0
RP1-159A19.4	-0.023487907540462767	1.0
RP1-159A19.3	-1.1718537169991694	0.00774332
RP11-288L9.4	-0.07370518747902753	1.0
RNU6-424P	0.0	1.0
FAM76A	-0.08429716242528536	0.704322
STX12	-1.95198737464468	0.000121354
RNU6-1245P	0.0	1.0
PPP1R8	-1.0762878292381872	0.000121354
THEMIS2	-1.1276441730569557	0.000121354
SMPDL3B	0.7988315796682901	0.00632299
XKR8	-1.1550681095774487	0.000121354
RP5-1053E7.2	0.0	1.0
AL353354.2	-1.7302427121145922	0.000562704
ATPIF1	-2.307509525055815	0.000121354
RP5-1092A3.5	-0.035508348748576245	1.0
SESN2	-3.4402541289349946	0.000121354
MED18	-0.8204562194306334	0.0167261
PHACTR4	-0.005106619314063931	0.973776
RCC1	-1.4412956184473553	0.000121354
TRNAU1AP	-1.235123763756443	0.000121354
RAB42	-0.22732810699831793	0.433855
RP11-442N24__B.1	-0.11601450899893002	0.201524
RNU11	0.0	1.0
GMEB1	-0.5203697785334277	0.000876967
YTHDF2	-1.233845393636201	0.000121354
OPRD1	0.5338772684198596	0.000121354
RP1-212P9.2	0.6938087477167478	0.306029
EPB41	2.79644670269228	0.000121354
RP11-242O24.5	0.05187766990730351	1.0
RP11-467D18.2	0.19138882135933663	0.532776
PTPRU	1.090931017512369	0.000121354
AL139151.1	0.0	1.0
AL645944.1	0.0	1.0
RP5-893G23.1	0.0	1.0
RP3-357I16.1	0.0	1.0
RP4-591L5.2	0.0	1.0
MATN1-AS1	0.14636867192675407	0.364081
RP1-65J11.1	-0.404759389705758	0.0978425
RN7SKP91	0.0	1.0
RP1-65J11.5	-0.02344102744761347	1.0
RP11-201O14.1	0.0932705409618483	1.0
RP11-201O14.2	0.0	1.0
ZCCHC17	0.418697149461578	0.0617988
SERINC2	-1.4269235108046296	0.000121354
RP11-439L8.3	0.011861647647779952	1.0
RP11-439L8.4	0.0	1.0
TINAGL1	0.588708630404262	0.000121354
HCRTR1	0.17538357751386904	0.104095
RP11-73M7.6,RP11-73M7.9	0.12406104129847326	0.328214
RP11-84A19.3	-0.020949599499959216	1.0
AL136115.1	-0.08920714773245929	0.834985
RP4-534N18.2	-0.06558351453947006	0.732297
KHDRBS1	1.038158276487382	0.000121354
TMEM39B	1.790957579452087	0.000235208
KPNA6	0.31328662549325026	0.0117007
TXLNA	0.22779593048621583	0.0881092
CCDC28B	1.6146143523030263	0.000121354
IQCC	2.166664371517033	0.000121354
DCDC2B	0.011607959468873765	0.977298
EIF3I	-0.6719605368524111	0.000121354
FAM167B	1.65466612877221	0.000121354
LCK	3.821948032120953	0.000121354
HDAC1	1.1387888295791997	0.000121354
TSSK3	0.4145415806023844	0.073248
RP11-395N6.4	0.0	1.0
RN7SL122P	0.0	1.0
RP1-27O5.3,ZBTB8A,ZBTB8B	1.7486532404166075	0.000121354
Y_RNA	0.0	1.0
RBBP4	2.2010857912962978	0.000121354
KIAA1522	2.611141309367081	0.000121354
S100PBP	0.7008695345534969	0.0976882
HPCA	5.581010862004862	0.000562704
AL031602.1	0.0	1.0
FKSG48	0.25443440658586763	0.00206699
RP4-803A2.1	0.01760398135070212	1.0
RP1-117O3.2,RP4-803A2.2	-0.22423474110451458	0.0919764
ADC	-1.2696403356329125	0.000121354
ZNF362	1.8657558490248802	0.000121354
RP11-415J8.3	0.15709175301502684	0.188166
RP11-415J8.5	0.5401781016302426	0.164468
TLR12P	0.0	1.0
ZSCAN20	0.30221550449820017	0.00914411
HSPD1P14	0.0	1.0
HMGB4	0.0	1.0
RP5-1007G16.1	0.05637668100921798	1.0
RNA5SP42	0.0	1.0
C1orf94	0.06740439756517956	1.0
GJB5	0.5615888556801196	0.170317
GJB4	0.06786570322813852	1.0
GJB3	0.2592431285791133	0.0655854
GJA4	0.11418112113567042	1.0
RP5-997D16.2	1.299189065614207	0.0749706
SNORD112	0.0	1.0
RP11-248I9.2	0.0020474619382429156	1.0
ZMYM1	0.4954240484747665	0.100815
EFCAB14P1	0.04337936433618889	1.0
Y_RNA	0.0	1.0
ZMYM4	0.9716596665678102	0.000121354
RP4-728D4.3	0.021923978932371777	1.0
NCDN	0.001260898058466012	0.996429
TFAP2E	-0.34524458036588856	0.0202113
RP11-435D7.3	0.4968411302252797	0.365252
AGO4	0.819864746230564	0.113569
AGO1	2.0827069078564517	0.000121354
AGO3	1.6355485983172944	0.000121354
TEKT2	3.276338877123302	0.13211
ADPRHL2	0.57951540373731	0.000121354
MAP7D1	0.024377451354987978	0.903325
RN7SL131P	0.0	1.0
THRAP3	0.6428618644964236	0.00433488
RP11-268J15.5,SH3D21	1.011716483314047	0.00263888
FTLP18	0.0	1.0
RP4-614N24.1	0.01626738175795159	1.0
MIR4255	0.0	1.0
RNU6-636P	0.0	1.0
RPS29P6	0.0	1.0
ZC3H12A	-0.6552019822957921	0.00302234
FTH1P1	0.265597115256306	0.557865
RP3-423B22.5	-0.10528181866167058	1.0
DNALI1	1.0900739676572542	0.0388264
CDCA8	4.524590446909059	0.000121354
snoU13	0.0	1.0
ACTN4P2	0.05500471709550241	1.0
MANEAL	4.798394989428069	0.000121354
C1orf122	0.0001166512174677733	0.9996
RP11-109P14.8	0.0	1.0
RP11-109P14.10	0.0	1.0
SNORA63	0.0	1.0
RNU6-584P	0.0	1.0
RNU6-510P	0.0	1.0
UTP11L	0.5685840592421411	0.000876967
RP5-884C9.2	0.041528931409404515	0.8717
RNU6-753P	0.0	1.0
RP11-329N22.1	0.0	1.0
RP11-334L9.1	-0.004020464074244834	1.0
RP5-864K19.4	0.3550402730737885	0.687593
RNU6-605P	0.0	1.0
AKIRIN1	0.22388513346652855	0.201361
NDUFS5	0.4923875958414148	0.000235208
KIAA0754,MACF1	-0.310244681195961	0.28185
BMP8A	1.247061966548442	0.0117007
RP11-69E11.8	0.6601850891327039	0.0905983
RP1-144F13.3	0.0	1.0
PPIE	1.021443932372103	0.000121354
RP1-118J21.25	0.8843134563893106	0.000121354
RP1-118J21.5	3.104629988983059	0.089608
MFSD2A	3.554041519312496	0.000121354
CAP1	-1.3837878525463063	0.000121354
RP11-115D7.3	0.0	1.0
RLF	1.2229340235592359	0.000121354
TMCO2	0.025785744922719532	1.0
ZMPSTE24	-0.15795151230335203	0.262042
SMAP2	0.7991321686433135	0.000121354
ZFP69B	2.000319871177793	0.000121354
RP1-228H13.5	1.4693400349755377	0.000121354
ZFP69	1.2047883455724078	0.00551744
EXO5	1.7653502630346218	0.000121354
ZNF684	0.7924876147866612	0.000346823
RP1-63P18.2	0.0	1.0
NFYC	1.4521816745263987	0.000121354
KCNQ4	1.6800290643088762	0.000121354
RP5-1066H13.4	0.0009138958317540117	1.0
CTPS1	0.7751728060384637	0.000121354
RP4-635E8.1	0.08946032027577595	1.0
RP11-399E6.1	-0.04289267726151277	1.0
FOXO6	3.5627081744090345	0.000121354
RP11-486B10.3	0.42298645056671685	0.0850693
RP11-486B10.4	2.090379227395346	0.014064
AL451006.1	0.0	1.0
HNRNPFP1	0.0	1.0
RP11-319C21.1	0.33355540226398245	0.000121354
GUCA2B	0.5940028974564201	0.000121354
RIMKLA	4.442593126294574	0.31016
CCDC30,PPCS	0.1734198603612298	0.318338
PPIH	1.293542884944211	0.000121354
RP5-994D16.3	1.0202149567077314	0.00451945
YBX1	0.25094942585453694	0.0746346
C1orf50	0.5765983256148887	0.0227334
ERMAP	-0.6135230868330295	0.00792062
ZNF691	0.7140009783075748	0.000121354
ATP6V1E1P1	0.0	1.0
SLC2A1-AS1	-0.3972536588258733	0.0117007
RNU6-880P	0.0	1.0
FAM183A	2.0183466209784977	0.000121354
WDR65	0.6204495030801119	0.0977421
TMEM125	2.3084599019852443	0.00424282
TIE1	-0.23766875426751627	0.0823536
MPL	0.11431354862962234	1.0
CDC20	3.7648327195013467	0.000121354
RP1-92O14.6	-0.4838371851589983	0.117748
SZT2	0.6310079291722642	0.00283159
HYI-AS1	0.2927320621447375	0.558254
PTPRF	1.3267366733193562	0.000121354
KDM4A	0.8761649162938315	0.00235354
ST3GAL3	0.15291422714385555	0.734479
ARTN	3.686814252960805	0.000121354
IPO13	0.89358441847724	0.00157926
DPH2	1.0281590083962062	0.000121354
ATP6V0B	0.7884082500678362	0.000121354
B4GALT2	0.5709517715863823	0.000235208
CCDC24	1.6116824526609965	0.00922826
RP5-1198O20.4	-0.4441016208415052	0.000121354
KLF17	-0.05456261249491059	1.0
DMAP1	-0.09553154855430136	0.67442
RNU6-369P	0.0	1.0
RNF220	-1.36477438594458	0.000121354
C1orf228	-0.5856359771889377	0.00605407
KIF2C	2.467296767198266	0.0178718
RPS8	-2.454070812402301	0.000121354
PLK3	-3.4732231996275327	0.000121354
BTBD19	-2.9695160448776514	0.000121354
RNA5SP47	0.0	1.0
CCNB1IP1P1	-0.025504840752907064	1.0
UROD	-2.2355662833801606	0.000121354
HPDL	0.12505466726864395	0.170076
TOE1	-0.4199211410556941	0.140859
RP11-291L19.1	0.12227659413870683	1.0
MMACHC	-0.03183603180177053	0.95337
HMGB1P48	0.0	1.0
AKR1A1	-0.6581639258423453	0.000121354
NASP	1.1255202012426782	0.000121354
TMEM69	-1.2692191933014454	0.00097974
RP11-630I5.1	0.0	1.0
MAST2	-0.859345544544712	0.000121354
RP4-533D7.4	-0.08199396410334961	1.0
RP4-533D7.3	0.0	1.0
RP4-533D7.5	0.05551449292450688	1.0
TSPAN1	1.6966174357890396	0.000562704
LURAP1	0.07401674772520508	0.854558
RAD54L	2.3881662993253885	0.000669422
UQCRH	-1.3565988557525144	0.000121354
NSUN4	-0.7532318908115456	0.000121354
RP4-603I14.3	0.0	1.0
FAAH	2.088299988817156	0.000121354
RP5-1109J22.1	0.043778948035761225	1.0
LINC00505	0.0750461922736752	1.0
DMBX1	0.5711234078494881	0.000121354
MKNK1-AS1	-0.00017587235210869432	1.0
TEX38	0.1572197030953475	0.164595
EFCAB14-AS1	-1.4963248231842132	0.000121354
RP11-8J9.5	0.013115385288574907	1.0
CYP4B1	0.4778337621366373	0.000121354
RP11-346M5.1	0.0	1.0
CYP4X1	0.2941569931834736	0.119613
CYP4Z1	0.01920359561854626	1.0
CYP4A22	0.009682644060345861	1.0
LINC00853	-0.07237424246580286	1.0
RP1-18D14.7	0.013409775124926736	1.0
CMPK1	-1.8475536486343342	0.000121354
FOXE3	0.42021334551229783	0.00569612
FOXD2	0.5039392019834151	0.000121354
AL356458.1	0.0	1.0
ATP6V0E1P4	0.0	1.0
RP11-543D5.1	0.0	1.0
RP11-330M19.1	0.0	1.0
RP4-683M8.2	0.0	1.0
CYP46A4P	0.0	1.0
AL109659.1	0.02126508390585958	1.0
RP5-1024N4.2	0.0	1.0
SLC5A9	0.23513874884944716	0.000121354
RNU6-723P	0.0	1.0
RP11-329A14.1	0.007232019636763886	1.0
RNU4-61P	0.0	1.0
RP11-141A19.1	0.01394359477776466	1.0
RP11-141A19.2	0.028882435336523325	1.0
ZNF859P	0.01732703879449559	1.0
AL645730.1	0.0	1.0
AL645730.2	0.006804987808814199	1.0
MTND2P29	0.0	1.0
ELAVL4	4.873074932223972	0.000121354
RP11-183G22.1	0.19827938653139457	0.337744
RP5-850O15.3	0.09983975295879509	1.0
RNU6-1026P	0.0	1.0
RNU6-1253P	0.0	1.0
PHBP12	0.09176941162834856	1.0
MRPS6P2	0.0	1.0
CDKN2C	4.685289967199884	0.000121354
MIR4421	0.0	1.0
C1orf185	0.0013530475158654767	1.0
AL162430.2	0.0	1.0
